LOT #,Reg #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
1,4281205,LOOSLI TRIAD 030,181,126,56,17,-4.2,66,109,0.27,26,0,17,9,20,0.78,0.17,18,0.03,0.05
2,4281185,LOOSLI SILVER 019,144,84,59,14,-2.2,73,121,0.3,34,2,14,8,14,0.52,0.12,38,0.08,0.01
3,4281221,LOOSLI MERLIN 038,131,86,44,15,-4.5,76,122,0.29,32,3,8,8,17,0.42,0.14,35,-0.05,0.01
4,4281183,LOOSLI REDD 018,126,96,30,15,-4.5,69,119,0.31,29,7,14,9,17,0.32,0.23,26,-0.11,0.05
5,4281181,LOOSLI FRANCHISE 017,139,89,50,14,-0.5,74,133,0.37,35,3,14,9,14,0.25,0.11,33,0.3,0.04
6,4281155,LOOSLI SILVER 005,109,92,17,11,-1.6,69,109,0.25,27,6,11,6,19,0.26,0.2,29,-0.1,0.03
7,4281149,LOOSLI ULTIMATUM 002,146,99,48,14,-1.9,73,115,0.27,27,2,16,6,17,0.68,0.19,29,0.04,0.05
8,4281203,LOOSLI REDD 029,150,92,58,12,-1,69,115,0.29,29,8,15,8,16,0.61,0.09,31,0.18,0.02
9,4281227,LOOSLI FULLBACK 041,91,85,5,14,-4.4,52,79,0.17,24,-1,14,8,16,0.28,0.13,4,-0.12,0.05
10,4281365,LOOSLI FULLBACK 062,120,105,15,14,-3.1,73,122,0.31,35,1,10,7,19,0.05,0.21,31,-0.14,0.03
11,4281439,LOOSLI FRONTLINES 075,107,65,42,15,-3.1,72,116,0.27,26,4,7,10,12,0.46,0.12,30,0.21,0.04
12,4281345,LOOSLI SILVER 052,142,106,37,7,2.6,89,140,0.32,32,5,17,5,17,0.44,0.19,33,0.03,0.04
13,4281341,LOOSLI BOURNE 050,107,68,38,13,-2.7,66,100,0.21,33,1,17,6,12,0.49,0.14,32,0.14,0.04
14,4281847,LOOSLI TRIAD 0184,161,98,62,15,-2.9,70,115,0.28,23,6,13,10,15,0.37,0.16,30,0.03,0.03
