LOT,REG,ID,NAME,BDATE,BW,aBW,BR,WW,aWW,WR,YW,aYW,YR,ADG,ADGr,WDA,WDAr,dmppa,ProS,ProS%,HB,HB%,GM,GM%,CED,CED%,BW,BW%,WW,WW%,YW,YW%,ADG,ADG%,M,M%,ME,ME%,HPG,HPG%,CEM,CEM%,ST,ST%,MA,MA%,YG,YG%,CW,CW%,RE,RE%,FT,FT%,SIRE,DAM,dam_bdate
111,4598421,206,MISS LOOSLI BOULDER 206,01-23-2022,76,78,107,643,632,119,981,1009,120,2.32,122,2.32,122,108,90,54,53,54,37,51,12,54,0,83,77,5,133,2,0.35,1,35,1,17,98,13,24,8,22,15,52,0.37,61,0.07,52,34,14,0.34,13,0.03,76,LOOSLI BOULDER 017,MISS LL PROFIT DRIVEN 879,02-27-2018
112,4598151,213,MISS LOOSLI SPARTACUS 213,01-24-2022,69,69,94,540,519,98,861,880,105,2.2,115,2.2,115,101,90,54,58,44,32,61,13,42,-3,28,68,23,111,22,0.27,23,26,51,6,65,9,89,9,18,16,43,0.44,42,0.17,94,27,33,0.02,74,0.04,88,BIEBER SPARTACUS A193,MISS LOOSLI RED LABEL 5135,03-26-2015
113,4597955,220,MISS LOOSLI ULTIMATUM 220,01-27-2022,80,81,111,635,628,118,927,957,114,2,105,2,105,102,105,30,81,9,24,77,10,86,-0.3,78,69,21,114,17,0.28,15,29,22,8,76,12,40,6,64,20,4,0.39,54,0.19,97,25,43,0.03,72,0.05,97,5L ULTIMATUM 3004-442F,MISS LL SIERRA 0104,03-11-2010
114,4598441,226,MISS LOOSLI SPARTACUS 226,01-28-2022,78,82,112,523,543,102,759,806,96,1.62,85,1.62,85,101,86,60,46,69,41,43,13,47,-2.7,33,68,22,108,26,0.25,35,27,33,4,53,12,40,8,37,13,79,0.65,11,0.2,97,27,36,-0.01,80,0.05,95,BIEBER SPARTACUS A193,MISS LOOSLI TRIAD 913,01-18-2019
115,4598153,233,MISS LOOSLI SPARTACUS 233,01-30-2022,74,74,101,558,546,103,822,844,100,1.81,95,1.81,95,103,78,73,45,71,34,58,12,54,-2.5,37,69,22,109,24,0.26,30,29,24,6,65,9,85,7,52,15,63,0.58,18,0.18,96,21,60,-0.04,84,0.05,96,BIEBER SPARTACUS A193,MISS LOOSLI SAGE 519,01-28-2015
116,4598119,259,MISS LOOSLI SPARTACUS 259,02-06-2022,75,75,103,545,545,103,831,868,103,1.96,103,1.96,103,102,78,73,53,54,25,75,13,48,-2.3,41,71,16,107,29,0.22,53,28,27,0,34,11,65,8,37,14,71,0.53,25,0.18,95,18,69,-0.14,95,0.04,85,BIEBER SPARTACUS A193,MISS LOOSLI BROOK 513,01-26-2015
117,4598195,239,MISS LOOSLI SPARTACUS 239,01-31-2022,78,78,107,512,504,95,825,856,102,2.14,112,2.14,112,96,110,23,67,27,43,37,13,50,-1.6,55,67,25,111,21,0.27,20,26,49,2,43,11,53,8,37,16,36,0.57,19,0.18,96,29,27,0.01,76,0.04,89,BIEBER SPARTACUS A193,MISS LOOSLI MEADOWS 620,01-31-2016
118,4598317,293,MISS LOOSLI STOCKMARKET 293,02-19-2022,80,80,109,336,353,66,816,887,105,3.29,173,3.29,173,96,150,1,72,19,79,2,13,41,-2.7,33,65,31,123,7,0.36,1,23,75,5,58,8,95,8,39,19,7,0.75,5,0.21,98,30,25,0.07,63,0.06,98,BIEBER CL STOCKMARKET E119,MISS LOOSLI FRONTIER 736,02-08-2017
119,4598255,2100,MISS LOOSLI SPARTACUS 2100,02-23-2022,82,83,114,524,562,106,847,924,110,2.21,116,2.21,116,103,88,57,54,53,34,56,12,63,-1.7,53,70,18,113,18,0.27,20,32,7,5,62,9,93,7,57,16,39,0.46,38,0.19,97,30,23,0.05,67,0.05,94,BIEBER SPARTACUS A193,MISS LOOSLI FRONTIER 767,02-24-2017
120,4598329,210,MISS LOOSLI FULL BACK 210,01-24-2022,72,73,100,526,513,97,836,861,102,2.12,111,2.12,111,98,103,33,75,15,28,70,12,57,-2.7,33,62,45,105,33,0.27,21,29,22,4,55,14,11,6,68,18,15,0.27,84,0.09,65,21,60,0.04,69,0.02,58,PIE FULLBACK 7005,MISS LOOSLI BOURNE 754,02-17-2017
