Reg #,Sale Order,Animal ID,Name,Sex,Birth Date,ProS,HerdBuilder,GridMaster,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
4838476,1,333,LOOSLI FOREMAN 333,B,02-02-2023,96,75,21,15,-3.2,72,118,0.29,29,9,15,7,18,0.38,0.15,22,0.01,0.04
4838552,2,372,LOOSLI FOREMAN 372,B,02-11-2023,97,56,41,16,-3.7,85,140,0.34,29,10,16,8,14,0.48,0.23,35,0.02,0.05
4838256,3,310,LOOSLI PERSEVERANCE 310,B,01-26-2023,66,53,12,16,-2.9,75,116,0.26,31,8,10,9,15,0.34,0.11,20,0.03,0.03
4838482,4,336,LOOSLI PERSEVERANCE 336,B,02-02-2023,68,68,0,15,-4.9,64,104,0.25,34,5,12,9,16,0.17,0.07,12,-0.09,0.01
4838536,5,364,LOOSLI FOREMAN 364,B,02-10-2023,122,63,59,17,-2.8,81,130,0.31,30,10,16,8,15,0.55,0.09,43,0.44,0.04
4838332,6,3135,LOOSLI ULTIMATUM 3135,B,03-09-2023,100,37,63,13,-3.3,76,135,0.37,35,5,14,7,11,0.38,0.17,44,0.16,0.03
4838544,7,3681,LOOSLI FOREMAN 3681,B,02-10-2023,101,48,54,13,-1.5,81,126,0.28,27,8,15,6,13,0.71,0.13,35,0.28,0.05
4838240,8,302,LOOSLI PROFITEER 302,B,01-23-2023,85,40,45,12,0,88,150,0.39,26,12,9,6,15,0.32,0.11,43,0.29,0.02
4838238,9,301,LOOSLI PROFITEER 301,B,01-22-2023,91,64,27,15,-0.7,80,131,0.32,30,13,13,8,17,0.34,0.11,30,0.12,0.02
4838246,10,305,LOOSLI COLLUSION 305,B,01-25-2023,137,72,65,12,1.9,83,133,0.32,31,5,14,8,16,0.71,0.04,32,0.21,0
4838586,11,389,LOOSLI PERSEVERANCE 389,B,02-17-2023,134,89,45,15,-3.5,63,101,0.24,34,7,13,9,20,0.66,0.08,22,0.26,0.04
4838498,12,344,LOOSLI AGENT 344,B,02-05-2023,124,97,27,15,-3.6,60,92,0.2,35,1,16,9,19,0.69,0.14,11,-0.06,0.04
