Reg #,Lot  #,ID,Name,Birth Date,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
4838652,118,3106,MISS LOOSLI STILLWATER 3106,03-05-2023,182,95,87,11,0.9,79,131,0.32,28,8,10,8,22,1.02,0.16,43,0.28,0.04
4838916,119,394,MISS LOOSLI PROFITEER 394,02-28-2023,74,52,22,9,1.1,84,135,0.31,27,11,12,6,16,0.24,0.07,31,0.31,0.03
4838834,120,353,MISS LOOSLI DELEGATE 353,02-10-2023,66,40,26,16,-3.5,57,94,0.23,30,6,10,10,13,0.49,0.13,11,-0.16,0.03
4838750,121,3153,MISS LOOSLI PROFITEER 3153,04-06-2023,102,67,35,11,0.9,78,120,0.26,27,6,12,6,17,0.48,0.12,30,0.15,0.03
4838860,122,366,MISS LOOSLI FOREMAN 366,02-15-2023,101,78,24,11,0.6,75,115,0.25,27,8,16,4,19,0.45,0.08,24,0.12,0.02
4838702,123,313,MISS LOOSLI PERSEVERANCE 313,01-25-2023,86,62,24,14,-2.1,66,110,0.27,30,9,12,9,16,0.31,0.1,23,0.02,0.02
4838624,124,303,MISS LOOSLI PROPULSION 303,01-23-2023,114,68,46,13,-2.3,74,115,0.26,30,5,18,8,14,0.67,0.17,27,-0.01,0.04
4838896,125,384,MISS LOOSLI SUPREMACY 384,02-23-2023,84,62,22,14,-3,60,98,0.24,29,8,13,8,17,0.39,0.05,16,0.05,0.02
4838744,126,3150,MISS LOOSLI ULTIMATUM 3150,04-04-2023,97,60,37,9,0.9,73,126,0.33,31,9,14,5,17,0.51,0.19,20,-0.01,0.05
4838880,127,376,MISS LOOSLI PERSEVERANCE 376,02-19-2023,80,58,22,14,-2.3,70,108,0.24,33,6,13,9,14,0.43,0.1,21,0.02,0.02
4838864,128,368,MISS LOOSLI AGENT 368,02-16-2023,99,65,34,16,-3.5,68,113,0.29,35,7,11,10,16,0.36,0.16,32,-0.01,0.03
4838862,129,367,MISS LOOSLI ULTIMATUM 367,02-16-2023,93,71,21,11,-1.9,65,105,0.25,32,5,13,6,18,0.39,0.18,18,-0.08,0.05
4838664,130,3112,MISS LOOSLI STILLWATER 3112,03-09-2023,152,79,73,11,0.4,70,117,0.29,34,6,10,8,19,0.72,0.13,40,0.28,0.04
4838838,131,355,MISS LOOSLI AGENT 355,02-10-2023,99,78,21,17,-3.5,58,97,0.25,35,5,11,10,19,0.4,0.24,21,-0.3,0.04
4838638,132,310,MISS LOOSLI COLLUSION 310,01-25-2023,136,96,40,16,-2.3,65,103,0.24,25,5,14,11,20,0.59,0.1,20,-0.08,0.01
4838832,133,352,MISS LOOSLI DELEGATE 352,02-10-2023,66,40,26,16,-3.5,57,94,0.23,30,6,10,10,13,0.49,0.13,11,-0.16,0.03
4838682,134,3121,MISS LOOSLI MISSION 3121,03-15-2023,,,,12,,,,,25,0,0,6,13,0.88,0.21,37,0.17,0.06
4838866,135,369,MISS LOOSLI AGENT 369,02-16-2023,95,76,19,14,-2,63,97,0.21,33,3,15,8,17,0.49,0.15,14,-0.15,0.03
4838760,136,316,MISS LOOSLI ULTIMATUM 316,01-26-2023,110,88,22,13,-1.9,56,90,0.21,29,-3,15,7,18,0.45,0.19,12,-0.08,0.06
4838680,137,3120,MISS LOOSLI MISSION 3120,03-15-2023,125,83,41,16,-3.4,60,90,0.19,31,-5,12,8,18,0.64,0.14,20,0.08,0.05
4838734,138,3146,MISS LOOSLI STILLWATER 3146,03-28-2023,146,76,70,12,1,81,130,0.3,26,5,9,7,19,0.75,0.1,38,0.2,0.02
4838768,139,320,MISS LOOSLI PROFITEER 320,01-26-2023,93,71,22,12,-0.8,77,126,0.31,28,11,13,6,19,0.35,0.23,29,-0.07,0.05
4838626,140,304,MISS LOOSLI COLLUSION 304,01-23-2023,130,82,47,17,-4.3,69,110,0.26,30,5,12,11,18,0.6,0.12,27,-0.03,0.01
4838804,141,338,MISS LOOSLI BRENNIX 338,02-05-2023,118,75,43,11,-0.5,70,105,0.22,27,0,14,7,16,0.65,0.12,22,0.03,0.03
4838806,142,339,MISS LOOSLI DELEGATE 339,02-05-2023,76,65,11,18,-4,56,89,0.2,30,6,10,10,17,0.39,0.14,8,-0.16,0.03
4838856,144,364,MISS LOOSLI DELEGATE 364,02-15-2023,80,42,37,14,-1.9,62,103,0.26,29,6,11,8,13,0.53,0.13,16,-0.04,0.04
4838836,145,354,MISS LOOSLI ESSENTIAL 354,02-10-2023,101,73,28,12,-3.2,66,109,0.27,22,7,13,8,18,0.3,0.15,30,0.01,0.03
4838738,146,3148,MISS LOOSLI COLLUSION 3148,03-31-2023,135,86,49,16,-2.7,75,117,0.26,29,6,14,10,18,0.63,0.08,27,0.09,0.01
4838870,147,371,MISS LOOSLI PERSEVERANCE 371,02-17-2023,69,43,27,14,-1.4,56,96,0.25,33,7,12,8,13,0.38,0.08,17,0.03,0.02
4838644,148,3102,MISS LOOSLI STILLWATER 3102,03-03-2023,124,57,67,10,1.2,77,129,0.32,28,10,10,7,16,0.85,0.08,30,0.27,0.03
4838646,149,3103,MISS LOOSLI MISSION 3103,03-04-2023,96,66,30,12,-0.7,65,98,0.21,29,2,13,8,16,0.64,0.12,17,0.06,0.04
4838660,150,311,MISS LOOSLI COLLUSION 311,01-25-2023,90,65,25,16,-3.1,69,105,0.22,28,6,10,9,17,0.52,0.09,18,-0.02,0.02
4838808,151,340,MISS LOOSLI COLLUSION 340,02-05-2023,102,60,42,14,-1.4,67,106,0.25,22,10,10,9,17,0.58,0.04,19,0.1,0.01
4838904,152,388,MISS LOOSLI AGENT 388,02-25-2023,85,50,35,16,-3.2,64,104,0.25,27,6,9,9,15,0.59,0.17,20,-0.14,0.03
4838912,153,392,MISS LOOSLI MISSION 392,02-27-2023,113,79,35,14,-1.5,65,98,0.21,30,0,13,8,17,0.58,0.21,30,0.03,0.05
4838810,154,341,MISS LOOSLI PERSEVERANCE 341,02-06-2023,62,28,34,12,-1,60,100,0.25,27,7,9,7,13,0.51,0.06,14,-0.05,0.01
4838854,155,363,MISS LOOSLI AGENT 363,02-14-2023,99,59,40,12,-0.8,71,114,0.27,31,8,15,7,15,0.6,0.17,28,-0.03,0.03
4838902,156,387,MISS LOOSLI MISSION 387,02-24-2023,109,62,47,12,-1.1,69,110,0.26,29,6,14,7,16,0.74,0.19,24,0.02,0.05
4838898,157,385,MISS LOOSLI MISSION 385,02-23-2023,121,79,42,13,0.2,65,97,0.2,28,-2,13,7,17,0.71,0.19,26,0.04,0.05
4838672,158,3117,MISS LOOSLI PROFITEER 3117,03-14-2023,96,67,29,13,-2.4,66,109,0.27,28,7,12,7,18,0.39,0.18,28,0.04,0.04
4838858,159,365,MISS LOOSLI MALBEC 365,02-15-2023,83,68,15,12,-1.4,69,104,0.21,25,2,9,9,17,0.35,0.02,16,0.26,0.03
4838886,160,379,MISS LOOSLI PERSEVERANCE 379,02-20-2023,84,53,31,14,-3.2,63,109,0.28,28,12,12,8,16,0.39,0.12,21,-0.07,0.02
4838716,161,3136,MISS LOOSLI PROFITEER 3136,03-24-2023,77,51,26,10,0.1,64,104,0.25,28,10,12,5,17,0.42,0.12,23,0.1,0.04
4838840,162,356,MISS LOOSLI MALBEC 356,02-10-2023,92,72,20,13,-2.5,61,93,0.2,30,0,12,9,16,0.41,0.07,13,0.14,0.04
4838814,163,343,MISS LOOSLI COLLUSION 343,02-07-2023,132,87,45,16,-2.3,54,90,0.22,27,5,12,11,19,0.59,0.07,19,-0.01,0.01
4838474,164,3321,MISS LOOSLI DELEGATE 3321,02-02-2023,67,64,3,18,-5.7,53,80,0.17,33,4,10,11,16,0.46,0.16,3,-0.25,0.04
4838772,165,322,MISS LOOSLI COLLUSION 322,01-27-2023,125,79,46,16,-2.7,66,108,0.26,27,6,13,10,17,0.64,0.15,23,-0.06,0.03
4838718,166,3137,MISS LOOSLI MISSION 3137,03-24-2023,115,62,52,12,-0.2,67,105,0.24,30,1,14,6,15,0.8,0.16,25,0.08,0.05
4838666,167,3113,MISS LOOSLI AGENT 3113,03-09-2023,119,78,42,20,-6.3,63,106,0.27,33,4,14,12,16,0.53,0.22,26,-0.15,0.04
4838908,168,390,MISS LOOSLI COLLUSION 390,02-25-2023,135,92,43,19,-4.4,63,102,0.25,28,6,13,12,20,0.56,0.1,21,-0.05,0.01
4838678,169,312,MISS LOOSLI PERSEVERANCE 312,01-25-2023,86,62,24,14,-2.1,66,110,0.27,30,9,12,9,16,0.31,0.1,23,0.02,0.02
4838918,170,395,MISS LOOSLI SPRINT 395,02-28-2023,74,43,31,13,-1.7,74,116,0.27,25,9,11,9,13,0.45,0.1,24,0.12,0.03
4838692,171,3126,MISS LOOSLI ULTIMATUM 3126,03-18-2023,94,65,28,10,-0.7,63,107,0.28,30,5,13,5,18,0.48,0.23,17,-0.19,0.05
