Reg #,Lot #,ID #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
5005827,1,409,LOOSLI JUMP START 409,125,53,72,10,-2.2,89,142,0.33,0.78,31,12,17,6,14,0.6,0.07,32,0.42,0.04
5006057,2,4300,LOOSLI COLLUSION 4300,110,52,58,14,-0.3,80,126,0.29,1.08,30,9,12,8,14,0.58,-0.03,23,0.16,-0.01
5006133,3,468,LOOSLI PERSEVERANCE 468,135,80,56,13,-1.2,78,129,0.32,1.22,35,7,11,7,19,0.23,0.07,49,0.59,0.04
5006067,4,433,LOOSLI JUMP START 433,121,73,48,13,-2.9,81,126,0.28,0.87,32,11,15,9,16,0.51,0.1,23,0.26,0.05
5005823,5,407,LOOSLI COMPLETE 407,114,63,50,15,-4,67,105,0.24,0.32,30,8,12,6,18,0.44,0.15,20,-0.07,0.03
5006085,6,443,LOOSLI COMPLETE 443,109,57,52,12,-1.7,75,124,0.3,1.27,31,11,12,7,16,0.4,0.17,36,0.08,0.04
5005981,7,417,LOOSLI PERSEVERANCE 417,111,70,42,15,-4.8,70,108,0.24,0.85,26,5,10,9,17,0.45,0.02,17,0.09,0.01
5006173,8,489,LOOSLI ENERGIZE 489,120,55,65,11,-3.2,70,114,0.28,0.3,26,11,14,6,16,0.47,0.2,30,0.21,0.07
5006097,9,449,LOOSLI COMPLETE 449,133,75,57,13,-0.9,74,126,0.32,1.04,34,10,12,6,20,0.59,0.13,18,-0.03,0.03
5006041,10,423,LOOSLI PERSEVERANCE 423,124,63,62,17,-2.6,77,128,0.32,1.31,31,6,12,9,15,0.56,0.22,35,0.14,0.06
5006089,11,445,LOOSLI JUMP START 445,119,67,52,11,-1.7,92,152,0.37,1.26,25,13,14,8,16,0.28,0.06,41,0.38,0.02
5006553,12,465,LOOSLI COMPLETE 465,103,36,67,14,-2.4,86,143,0.36,1.1,32,10,11,6,13,0.52,0.12,34,0.24,0.04
5006095,13,448,LOOSLI COMPLETE 448,146,56,91,10,0.3,84,141,0.35,1.4,30,12,15,4,17,0.73,0.18,52,0.39,0.05
5006121,14,461,LOOSLI COMPLETE 461,111,69,42,13,-3.6,59,96,0.24,0.58,32,11,14,6,19,0.65,0.2,2,-0.29,0.06
5005915,15,4139,LOOSLI SUPREMACY 4139,110,54,55,10,-2,79,124,0.28,1.21,25,9,12,5,16,0.56,0.13,32,0.09,0.03
5005841,16,4105,LOOSLI COMPLETE 4105,146,73,73,15,-3.4,73,126,0.33,1.05,30,9,11,8,19,0.56,0.1,32,0.26,0.04
5006053,17,429,LOOSLI JUMP START 429,119,52,67,12,0.6,97,148,0.32,1.1,30,11,17,6,13,0.64,0.15,41,0.43,0.06
4968754,18,M3,LOOSLI JM FRONTLINES M3,146,80,66,15,-0.08,82,139,0.36,1.35,30,10,10,8,20,0.36,0.28,55,0.11,0.05
4968764,19,M8,LOOSLI JM REDWOOD ET M8,86,32,54,14,-2.7,72,116,0.27,0.65,25,4,11,8,11,0.57,0.08,15,0.16,0.04
5005959,20,416,LOOSLI JUMP START 416,156,99,57,21,-6.4,73,121,0.3,0.72,32,13,13,13,21,0.5,0.02,17,0.27,0.03
5005885,21,4125,LOOSLI HARD DRIVE 4125,119,79,39,13,-0.6,82,131,0.31,1.1,32,13,14,7,19,0.22,-0.1,27,0.51,0
5005813,22,4000,LOOSLI JUMP START 4000,105,41,65,13,0,81,132,0.32,1.31,33,10,13,6,13,0.61,0.15,34,0.1,0.03
5005891,23,4128,LOOSLI COMPLETE 4128,104,48,56,14,-0.6,81,126,0.28,1.06,27,11,9,6,16,0.6,0.1,28,-0.01,0.01
5006055,24,430,LOOSLI RIVERSIDE 430,157,93,64,18,-3.2,75,129,0.33,1.64,30,11,13,11,20,0.61,0.12,31,0.2,0.04
5006125,25,463,LOOSLI COMPLETE 463,130,65,65,11,0.4,79,135,0.35,1.43,31,13,12,5,20,0.54,0.15,34,0.16,0.04
5006043,26,424,LOOSLI ENERGIZE 424,150,96,54,17,-3.8,69,113,0.28,0.31,31,3,16,10,19,0.4,0.15,22,0.08,0.05
5005837,27,4103,LOOSLI COMPLETE 4103,135,62,73,16,-2.4,73,127,0.33,0.87,30,11,10,8,18,0.56,0.09,28,0.21,0.03
5006149,28,477,LOOSLI JUMP START 477,116,73,43,11,-0.5,88,145,0.35,1.27,25,14,16,6,18,0.28,0,29,0.31,0.01
5006107,29,454,LOOSLI HORIZON 454,129,63,66,11,-2,68,116,0.3,0.98,33,3,16,6,15,0.6,0.17,27,0.07,0.05
5005887,30,4126,LOOSLI COMPLETE 4126,86,74,12,10,0,86,133,0.3,1.25,30,13,14,4,20,0.42,0.14,3,-0.35,0.02
5005899,31,4131,LOOSLI SUPREMACY 4131,99,70,28,16,-2.5,76,121,0.28,1.19,27,8,12,8,17,0.41,0.08,11,0.08,0.04
5005907,32,4135,LOOSLI PROFITEER 4135,114,68,47,15,-4.2,69,106,0.23,0.93,28,9,10,9,18,0.53,0.2,26,-0.01,0.05
5006037,33,421,LOOSLI HARD DRIVE 421,135,86,49,15,-4.7,76,127,0.32,1.27,28,12,14,10,20,0.48,-0.09,14,0.47,0.01
5006099,34,450,LOOSLI COMPLETE 450,108,46,62,14,-3.4,73,128,0.34,0.97,22,12,10,8,16,0.34,0.08,33,0.31,0.03
5006139,35,472,LOOSLI MISSION 472,142,93,49,10,-1,72,113,0.26,0.72,30,3,14,5,21,0.53,0.09,17,0.17,0.04
5006135,36,469,LOOSLI PROPULSION 469,106,52,55,13,-1.2,79,121,0.26,0.88,31,5,13,7,13,0.56,0.18,32,0.04,0.04
5006075,37,438,LOOSLI TIMELESS 438,80,52,28,13,-2.3,72,117,0.28,1.02,25,7,11,6,16,0.18,0.09,25,0.08,0.02
5006145,38,475,LOOSLI COMPLETE 475,112,34,78,11,-0.3,82,138,0.35,1.39,29,16,10,5,15,0.56,0.12,46,0.21,0.01
5006077,39,439,LOOSLI COMPLETE 439,112,56,56,17,-4.7,73,122,0.3,0.96,32,14,9,9,18,0.59,0.1,17,0.07,0.04
5005859,40,4113,LOOSLI COMPLETE 4113,117,42,75,14,0.5,88,151,0.39,1.43,29,11,14,6,13,0.53,0.01,38,0.35,0
5005889,41,4127,LOOSLI HARD DRIVE 4127,114,51,64,14,-3.8,69,113,0.28,0.84,26,15,13,8,16,0.4,-0.02,33,0.35,0
5005879,42,4122,LOOSLI MISSION 4122,85,31,54,7,2.6,87,140,0.33,1.76,27,6,12,4,12,0.56,0.23,41,0.05,0.05
5006115,43,458,LOOSLI COMPLETE 458,127,56,71,9,-0.6,75,128,0.33,1.43,30,10,12,3,18,0.55,0.14,40,0.15,0.02
5006151,44,478,LOOSLI PERSEVERANCE 478,101,43,58,12,-1.8,77,128,0.31,1.23,27,10,10,7,14,0.28,0.02,44,0.44,0.01
5005825,45,408,LOOSLI PROPULSION 408,149,79,70,16,-3.7,68,109,0.26,1.07,29,3,17,9,16,0.8,0.2,29,-0.09,0.04
5005853,46,4110,LOOSLI PROPULSION 4110,107,84,23,14,-3.4,73,109,0.22,1.22,32,1,17,8,16,0.6,0.2,8,-0.13,0.06
5005867,47,4117,LOOSLI COLLUSION 4117,125,79,46,13,-1.5,73,119,0.29,0.97,22,7,12,7,19,0.47,0.16,21,-0.18,0.02
5005895,48,413,LOOSLI COMPLETE 413,144,73,71,16,-4.9,61,100,0.24,0.57,32,9,11,9,19,0.55,0.09,31,0.12,0.02
5005855,49,4111,LOOSLI HORIZON 4111,121,57,63,15,-2.6,67,115,0.3,0.89,30,5,16,9,13,0.59,0.16,21,0.1,0.05
5006129,50,466,LOOSLI PERSEVERANCE 466,131,67,64,18,-5.3,70,121,0.32,1.1,35,7,12,11,16,0.37,0.07,38,0.33,0.02
5005901,51,4132,LOOSLI MISSION 4132,128,65,63,12,-0.2,75,119,0.27,1.39,33,0,13,6,15,0.73,0.18,32,0.2,0.06
5006069,52,434,LOOSLI COLLUSION 434,117,67,50,17,-2.9,74,118,0.27,0.97,26,7,10,11,17,0.52,0.14,24,-0.05,0.02
5006047,53,426,LOOSLI COMPLETE 426,128,74,54,13,-1.4,72,113,0.26,0.36,30,11,13,6,20,0.5,0.17,21,-0.08,0.04
5006071,54,435,LOOSLI ENERGIZE 435,142,88,54,18,-4.2,75,126,0.32,0.63,27,4,15,10,18,0.66,0.23,10,-0.22,0.06
5005869,55,4118,LOOSLI PROPULSION 4118,95,36,59,17,-4.1,68,112,0.28,0.89,27,12,13,9,13,0.43,-0.08,24,0.34,-0.01
5005875,56,4120,LOOSLI AGENT 4120,97,35,62,11,-1.5,72,113,0.26,0.65,25,11,12,6,13,0.57,-0.02,21,0.35,0.02
