Reg #,Lot #,ID #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE,BF
5006407,120,429,MISS LOOSLI PERSEVERANC 429,118,73,45,12,-0.4,82,133,0.32,1.31,37,7,12,6,18,0.37,0.12,33,0.05,0.01
5006421,121,432,MISS LOOSLI JUMP START 432,161,71,89,14,-1,89,151,0.39,1.12,29,13,14,9,17,0.7,0.14,42,0.33,0.04
5006359,122,417,MISS LOOSLI JUMP START 417,154,60,93,15,-3.3,80,146,0.41,0.66,24,14,17,8,14,0.52,0.09,37,0.39,0.04
5006465,123,455,MISS LOOSLI JUMP START 455,127,75,52,15,-2.8,88,140,0.32,1.25,31,14,15,10,16,0.46,0.13,34,0.29,0.05
5006315,124,415,MISS LOOSLI COMPLETE 415,122,49,73,13,-1.9,74,130,0.35,0.94,30,10,12,7,15,0.57,0.1,26,0.06,0.02
5006209,125,409,MISS LOOSLI JUMP START 409,125,60,64,13,-1.6,82,138,0.35,0.88,29,17,14,7,17,0.45,0.08,28,0.36,0.04
5006259,126,4124,MISS LOOSLI COLLUSION 4124,138,75,63,12,0.7,82,133,0.32,1.23,27,7,15,6,17,0.63,0.14,30,0.05,0.03
5006413,127,4301,MISS LOOSLI COLLUSION 4301,139,71,68,16,-2.1,71,115,0.28,0.96,26,7,12,10,17,0.64,0.14,29,-0.03,0.02
5006415,128,4302,MISS LOOSLI JUMP START 4302,97,47,50,12,-1.4,79,134,0.34,1.06,25,18,15,7,15,0.35,0.01,23,0.33,0.03
5006509,129,478,MISS LOOSLI COMPLETE 478,137,65,72,13,-1.7,72,120,0.3,0.68,26,8,13,7,17,0.64,0.12,25,-0.01,0.02
5006249,130,4119,MS LOOSLI PERSEVERANCE 4119,125,67,57,11,0.7,77,130,0.33,1.23,35,9,13,6,18,0.39,0.13,35,0.1,0.02
5006251,131,412,MISS LOOSLI COMPLETE 412,111,40,71,17,-4.8,67,115,0.3,0.87,28,10,10,8,15,0.57,0.08,28,0.13,0.02
