Lot #,id,Reg #,name,Birthday,ProS,ProS%,HB,HB%,GM,GM%,CED,CED%,BW,BW%,WW,WW%,YW,YW%,ADG,ADG%,DMI,DMI%,M,M%,ME,ME%,HPG,HPG%,CEM,CEM%,ST,ST%,MA,MA%,YG,YG%,CW,CW%,REA,REA%,FT,FT%,bw,bw_a,bw_r,ww,ww_a,ww_r,yw,yw_a,yw_r,adg,adg_r,wda,wda_r,scr_a,us_mb_a,us_mb_r,us_rea_a,us_rea_r,us_ft_a,us_ft_r,sirereg#,sire_name,geneticdam_reg#,geneticdam_Name,geneticdam_bdate,dmppa
1,524,5174189,LOOSLI FLASHDRIVE 524,01-27-2025,168,2,68,22,100,1,13,42,-0.5,75,84,6,143,3,0.37,2,1.27,94,32,5,16,96,11,64,6,62,20,5,0.99,1,0.13,87,37,9,0.32,17,0.05,96,85,85,100,712,692,104,1240,1224,114,3.32,131,3.32,131,35.71,4.51,117,13.88,116,0.35,136,4789398,BIEBER FLASHDRIVE L179,4281249,MISS LOOSLI REDD 006,01-16-2020,102
2,521,5174183,LOOSLI LEAD 521,01-26-2025,147,7,72,18,75,11,13,44,-3.7,18,83,6,135,6,0.33,8,0.94,74,29,17,9,78,14,11,8,35,17,29,0.59,23,0.14,88,39,7,0.22,33,0.03,86,76,84,98,704,750,113,1185,1236,115,3.03,119,3.03,119,,4.8,125,13.5,113,0.28,108,4838476,LOOSLI LEAD OFF 333,4838926,MISS LOOSLI X-PORTER 399,03-01-2023,105
3,531,5174203,LOOSLI COMPLETE 531,01-28-2025,114,35,43,68,71,16,13,48,-1.3,59,86,4,145,2,0.37,2,1.08,85,30,12,16,95,15,9,7,58,14,70,0.49,39,0.08,64,35,12,0.2,35,0.01,50,83,85,100,696,693,104,1185,1186,111,3.08,121,3.08,121,36.24,5.11,133,11.99,100,0.27,104,4543551,TKP COMPLETE 1595,4516883,MISS LOOSLI SILVER 1114,02-24-2021,100
4,529,5174199,LOOSLI FLASHDRIVE 529,01-28-2025,157,4,88,5,69,18,13,50,-1.9,49,82,8,145,2,0.39,1,1.35,96,34,2,20,99,12,36,9,16,22,1,0.49,39,0.07,63,31,20,0.19,37,0.02,58,87,87,102,754,735,110,1205,1189,111,2.84,112,2.84,112,34.24,2.78,72,13.85,115,0.26,101,4789398,BIEBER FLASHDRIVE L179,4281273,MISS LOOSLI TOP LINE 018,01-20-2020,105
5,587,5174309,LOOSLI COMPLETE 587,02-13-2025,141,10,73,17,68,19,13,44,-2.5,37,82,8,132,9,0.31,11,0.91,72,33,4,8,73,12,34,8,37,17,20,0.59,23,0.22,99,36,10,-0.06,84,0.03,88,87,87,102,714,737,111,1190,1216,114,2.99,118,2.99,118,36.26,4.73,123,12.45,104,0.32,126,4543551,TKP COMPLETE 1595,3819911,MISS LOOSLI FRONTIER 739,02-09-2017,105
6,568,5174273,LOOSLI LEAD 568,02-07-2025,81,82,50,55,31,88,8,90,0.9,91,89,2,146,2,0.36,3,0.99,78,27,34,9,77,14,14,7,47,13,76,0.05,99,0.11,82,37,9,-0.01,77,0,19,95,96,112,721,731,110,1160,1174,110,2.76,109,2.76,109,35.56,2.7,70,12.36,103,0.26,102,4838476,LOOSLI LEAD OFF 333,3571518,MISS LOOSLI SAGA 60-635,02-05-2016,106
7,539,5174215,LOOSLI FLASHDRIVE 539,01-30-2025,142,10,56,44,86,4,16,22,-2.4,39,81,9,130,10,0.31,14,1.15,89,31,8,16,95,13,32,7,49,17,24,0.9,3,0.08,67,35,12,0.45,6,0.05,96,83,83,97,742,722,108,1175,1158,108,2.72,107,2.72,107,36.81,4.66,121,11.8,98,0.37,144,4789398,BIEBER FLASHDRIVE L179,3907041,MISS LOOSLI BROOK 8116,03-17-2018,102
8,523,5174187,LOOSLI COMPLETE 523,01-27-2025,98,59,29,88,69,17,6,96,1,92,88,3,156,1,0.43,1,1.25,93,26,48,19,98,13,27,5,88,14,70,0.42,52,0.21,98,39,7,0.02,71,0.04,91,95,96,112,710,699,105,1235,1230,115,3.3,130,3.3,130,35.71,3.35,87,12.07,101,0.26,100,4543551,TKP COMPLETE 1595,1716934,MISS LOOSLI STING 4130,03-19-2014,98
9,5221,5174567,LOOSLI COLLUSION 5221,01-26-2025,120,28,66,26,54,42,9,85,0.5,88,81,8,130,10,0.3,16,0.94,75,24,68,4,53,13,29,5,81,17,28,0.49,39,0.1,77,27,30,-0.04,82,0,35,95,95,111,730,701,105,1170,1144,107,2.77,109,2.77,109,38.68,3.88,101,11.86,99,0.18,69,4534673,C-BAR FORTUNE 263J,4131672,MISS LOOSLI ULTIMATUM 941,01-29-2019,103
10,533,5174207,LOOSLI LEAD 533,01-29-2025,128,20,68,22,60,32,8,87,-1.6,54,80,11,132,8,0.33,8,1.02,81,29,21,12,88,14,15,6,62,17,19,0.47,42,0.22,99,35,12,-0.05,83,0.04,92,88,95,111,682,734,110,1140,1197,112,2.88,113,2.88,113,36.77,3.57,93,12.19,102,0.3,116,4838476,LOOSLI LEAD OFF 333,4838846,MISS LOOSLI GLADIATOR 359,02-11-2023,104
