Lot #,REG #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,DMI,M,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT
1,5174189,LOOSLI FLASHDRIVE 524,152,65,87,13,-0.6,81,133,0.33,1.27,32,16,11,6,19,0.91,0.12,34,0.23,0.04
2,5174183,LOOSLI LEAD 521,129,70,59,13,-3.7,80,126,0.28,0.94,29,9,14,8,16,0.51,0.14,35,0.18,0.04
3,5174203,LOOSLI COMPLETE 531,92,41,51,13,-1.4,84,138,0.34,1.08,30,16,15,7,13,0.39,0.04,26,0.2,0.01
4,5174199,LOOSLI FLASHDRIVE 529,159,89,70,13,-2,81,144,0.39,1.35,34,20,12,9,22,0.53,0.08,29,0.14,0.02
5,5174309,LOOSLI COMPLETE 587,126,73,53,13,-2.6,80,125,0.28,0.91,32,8,12,8,18,0.52,0.19,30,-0.1,0.03
6,5174273,LOOSLI LEAD 568,83,50,33,8,0.9,88,141,0.34,0.99,27,9,14,7,13,0.13,0.11,35,-0.01,0
7,5174215,LOOSLI FLASHDRIVE 539,137,56,80,16,-2.4,80,128,0.29,1.15,31,16,13,7,17,0.86,0.02,30,0.5,0.04
8,5174187,LOOSLI COMPLETE 523,85,29,57,6,0.9,86,149,0.39,1.25,26,19,13,5,14,0.45,0.15,27,0.01,0.03
9,5174567,LOOSLI COLLUSION 5221,119,66,53,9,0.4,80,127,0.29,0.94,24,4,13,5,17,0.55,0.11,23,-0.05,0.01
10,5174207,LOOSLI LEAD 533,119,67,53,8,-1.6,78,126,0.3,1.02,29,12,14,7,17,0.5,0.21,30,-0.06,0.04
11,5135007,LOOSLI JM IGNITE N2,99,64,35,22,-3.6,74,120,0.29,0.52,27,11,9,9,19,0.36,0.13,10,-0.07,0.04
12,5174169,LOOSLI COMPLETE 513,89,60,29,14,-2.4,70,113,0.27,1,31,13,14,6,17,0.29,0.06,17,0.13,0.03
13,5174161,LOOSLI FLASHDRIVE 509,140,65,75,16,-4.2,80,125,0.28,1.29,33,16,12,10,17,0.66,0.16,50,0.45,0.05
14,5174241,LOOSLI COMPLETE 552,109,37,72,7,0.8,89,148,0.37,1.15,31,15,15,3,14,0.59,0.26,41,-0.18,0.03
15,5174193,LOOSLI ADVANTAGE 526,101,75,26,15,-2.7,70,102,0.2,0.92,33,2,13,9,16,0.29,0.06,24,-0.04,0
16,5174243,LOOSLI COMPLETE 553,117,85,32,15,-2.2,64,103,0.24,0.94,32,8,13,8,20,0.47,0.17,10,-0.3,0.03
17,5174195,LOOSLI ADVANTAGE 527,144,109,35,19,-4.8,63,94,0.19,1.04,33,4,13,11,22,0.58,0.19,17,-0.18,0.04
18,5174235,LOOSLI COMPLETE 549,82,33,49,13,-1,81,139,0.36,1.06,33,15,12,6,13,0.45,0.25,24,-0.21,0.05
19,5174245,LOOSLI COMPLETE 554,111,59,52,11,-2.1,78,125,0.29,1.12,30,13,16,7,15,0.52,0.17,29,-0.03,0.03
20,5174251,LOOSLI FLASHDRIVE 557,131,78,53,12,-2.8,75,123,0.3,1.39,29,17,12,7,21,0.51,0.08,28,0.25,0.03
21,5174271,LOOSLI COMPLETE 567,112,36,75,7,1,85,148,0.39,1.18,28,13,14,4,14,0.58,0.15,35,-0.01,0.02
22,5174277,LOOSLI LEAD 570,142,96,46,11,-0.9,77,122,0.28,1,28,9,15,6,22,0.32,0.06,33,0.21,0.01
23,5174307,LOOSLI COMPLETE 586,144,34,110,2,4.9,101,171,0.44,1.01,30,11,14,3,13,0.71,0.04,55,0.57,0.01
24,5135019,LOOSLI JM IGNITE N11,117,55,62,18,-4.9,74,112,0.23,0.61,27,7,11,10,15,0.56,0.04,29,0.23,0.01
25,5174279,LOOSLI REALITY 571,139,67,72,16,-2.4,92,148,0.35,1.09,27,10,12,10,15,0.72,0.09,30,0.12,0.01
26,5174349,LOOSLI ADVANTAGE 5108,67,51,15,11,-0.3,87,127,0.25,1.1,29,8,11,6,15,0.29,0.06,18,0.05,0.01
27,5174159,LOOSLI HARD DRIVE 507,136,60,76,14,-2,81,127,0.29,1.13,26,13,13,7,17,0.69,-0.09,33,0.64,0.01
28,5174263,LOOSLI FLASHDRIVE 563,115,51,64,12,-2.5,66,109,0.27,1.27,35,18,12,8,17,0.65,0.09,28,0.26,0.04
29,5174393,LOOSLI FLASHDRIVE 5130,131,51,81,13,-0.8,89,142,0.33,1.32,28,14,11,8,15,0.73,0.06,41,0.34,0.01
30,5174197,LOOSLI COMPLETE 528,73,21,52,14,-2.4,75,128,0.33,1.15,31,16,11,7,12,0.52,0.12,18,-0.06,0.03
31,5174247,LOOSLI LEAD 555,153,81,72,12,-2.4,83,132,0.31,1.12,26,9,14,8,18,0.56,0.05,41,0.31,0.01
32,5174353,LOOSLI FLASHDRIVE 5110,96,35,61,12,-0.4,79,127,0.3,1.64,28,21,10,7,15,0.75,0.12,28,0.1,0.03
33,5174429,LOOSLI COLLUSION 5148,153,69,85,12,-1.5,72,124,0.32,0.95,22,6,10,5,19,0.66,0.1,35,0.14,0.01
34,5174303,LOOSLI FOREMAN 583,85,37,48,10,-1,84,140,0.35,1.09,22,10,16,5,11,0.38,0.12,26,0.03,0.03
35,5174223,LOOSLI ADVANTAGE 543,108,65,43,23,-5.9,72,104,0.2,1.04,34,5,17,9,16,0.65,0.08,19,0,0.01
36,5174253,LOOSLI COMPLETE 558,127,73,54,16,-3.1,69,115,0.29,1.15,26,12,14,7,19,0.75,0.19,12,-0.03,0.06
37,5174883,LOOSLI LEAD 517,121,74,47,10,0,82,134,0.33,1.26,24,10,13,6,18,0.32,0.09,33,0.03,0
38,5174255,LOOSLI FOREMAN 559,90,47,43,13,-1.5,82,134,0.32,1.16,24,12,14,8,13,0.27,0.04,32,0.28,0.01
39,5174471,LOOSLI FLASHDRIVE 5169,163,63,100,10,1.8,103,164,0.38,1.39,30,18,13,7,16,0.91,0.02,51,0.57,0.01
40,5174275,LOOSLI COLLUSION 569,111,68,44,17,-3.1,68,115,0.29,0.88,29,4,10,8,18,0.27,0.16,29,-0.2,0
41,5174239,LOOSLI LEAD 551,106,86,20,11,0.6,72,118,0.29,0.97,27,9,14,6,20,0.2,0.07,13,-0.07,0.01
42,5174387,LOOSLI HARD DRIVE 5127,116,49,67,12,-2.6,79,132,0.33,0.88,29,8,14,6,14,0.55,0.12,28,0.04,0.02
43,5174461,LOOSLI FLASHDRIVE 5164,133,58,75,13,-0.9,78,120,0.26,1.08,22,14,12,8,16,0.91,0.11,30,0.26,0.04
44,5174225,LOOSLI COLLUSION 544,104,63,41,19,-2.4,62,103,0.25,0.72,25,7,9,9,18,0.37,0.14,17,-0.14,0.03
45,5174157,LOOSLI COLLUSION 506,143,91,52,18,-6,52,86,0.22,0.81,25,1,11,8,22,0.78,0.21,7,-0.52,0.02
46,5174167,LOOSLI ADVANTAGE 512,132,83,49,14,-2.2,88,137,0.31,1.21,34,2,16,9,16,0.4,0.07,36,0.18,0.01
