Lot #,Id,Reg #,Name,Birthday,bw,bw_a,bw_r,ww_a,ww_r,yw_a,yw_r,ProS,ProS%,herdbuilder,herdbuilder_pr,gridmaster,gridmaster_pr,epd_ced,epd_ced_pr,epd_bw,epd_bw_pr,epd_ww,epd_ww_pr,epd_yw,epd_yw_pr,epd_adg,epd_adg_pr,epd_dmi,epd_dmi_pr,epd_milk,epd_milk_pr,epd_me,epd_me_pr,epd_hpg,epd_hpg_pr,epd_cem,epd_cem_pr,epd_stay,epd_stay_pr,epd_marb,epd_marb_pr,epd_yg,epd_yg_pr,epd_cw,epd_cw_pr,epd_rea,epd_rea_pr,epd_fat,epd_fat_pr,sire_reg#,sire_name,dam_reg#,dam_bdate,dam_name
126,590,5174697,MISS LOOSLI MISSION 590,02-22-2025,85,85,107,590,100,828,99,116,33,73,17,43,70,9,83,0,83,70,35,106,49,0.22,66,0.89,71,31,10,0,31,14,14,5,79,17,26,0.52,33,0.16,94,24,48,-0.05,83,0.03,87,4298175,5L ON A MISSION 1307-33H,3571596,03-15-2016,MISS LOOSLI FRONTIER 6119
127,5155,5174827,MISS LOOSLI FLASH 5155,03-29-2025,87,88,110,649,110,961,115,134,15,56,43,78,9,8,86,0.3,86,90,2,142,3,0.32,8,1.39,97,30,12,19,98,13,26,6,71,17,23,0.74,9,0.07,63,42,4,0.47,5,0.03,88,4789398,BIEBER FLASHDRIVE L179,4516991,03-02-2021,MISS LOOSLI PORTER 1126
128,504,5174531,MISS LOOSLI COLLUSION 504,01-19-2025,88,90,113,613,104,855,102,118,30,53,50,65,23,8,89,0.4,87,81,8,128,12,0.29,21,0.91,72,23,77,6,64,11,51,5,87,16,41,0.65,17,0.08,65,27,30,0.11,53,0.01,50,4534673,C-BAR FORTUNE 263J,4516995,02-13-2021,MISS LOOSLI SPARTACUS 195
129,513,5174549,MISS LOOSLI COLLUSION 513,01-25-2025,87,91,114,583,99,856,102,114,35,43,68,71,15,10,74,-0.4,77,72,28,120,21,0.3,16,0.6,33,26,46,10,81,9,95,6,71,16,41,0.63,19,0.02,31,19,65,0.08,59,0,26,4534673,C-BAR FORTUNE 263J,4598551,01-06-2022,MISS LOOSLI ENERGIZE 200
130,5115,5174747,MISS LOOSLI COLLUSION 5115,03-06-2025,95,99,124,633,107,914,109,130,17,69,21,62,29,7,91,0.9,91,80,10,128,12,0.3,16,1.04,82,26,44,3,44,11,59,5,88,18,15,0.56,27,0.09,71,30,23,0.05,65,0.01,41,4534673,C-BAR FORTUNE 263J,4598087,02-22-2022,MISS LOOSLI TRIAD 297
131,5139,5174795,MISS LOOSLI AGENT 5139,03-19-2025,105,105,132,645,109,910,109,128,19,61,34,67,20,3,99,2.9,99,84,6,135,6,0.32,9,0.94,74,28,31,12,90,14,14,4,89,18,15,0.62,20,0.2,98,33,15,-0.02,79,0.04,90,4428819,VGE AGENT 124,4281603,03-09-2020,MISS LOOSLI STILLWATER 0106
132,515,5174553,MISS LOOSLI FLASH 515,01-25-2025,100,100,125,667,113,875,105,141,10,65,27,76,11,6,95,1.3,94,85,5,139,5,0.34,6,1.49,98,33,4,17,97,12,43,6,77,19,7,0.64,18,0.09,71,43,4,0.37,10,0.03,77,4789398,BIEBER FLASHDRIVE L179,3819927,02-09-2017,MISS LOOSLI FRONTIER 740
133,516,5174555,MISS LOOSLI COLLUSION 516,01-25-2025,96,98,123,654,111,958,115,117,32,53,49,64,25,6,96,1.7,96,81,9,129,11,0.3,17,0.88,69,25,53,6,64,11,56,4,93,16,30,0.51,35,0.08,69,34,14,0.16,42,0.01,50,4534673,C-BAR FORTUNE 263J,4516919,02-14-2021,MISS LOOSLI PORTER 199
134,583,5174683,MISS LOOSLI COLLUSION 583,02-19-2025,95,97,122,635,108,966,115,118,30,63,31,56,39,8,89,0.8,91,80,10,128,13,0.29,19,0.87,68,24,64,4,50,11,55,5,84,17,27,0.52,33,0.09,72,25,37,0.03,69,0.01,49,4534673,C-BAR FORTUNE 263J,4516921,03-12-2021,MISS LOOSLI PORTER 1145
135,523,5174887,MISS LOOSLI FOREMAN 523,01-27-2025,88,88,110,596,101,864,103,106,46,71,19,35,83,10,77,-0.2,80,83,7,132,8,0.31,13,1.25,93,22,85,6,65,15,7,5,84,17,22,0.38,69,0.13,87,23,50,-0.03,80,0.02,74,3744501,5L FOREMAN 2174-370E,4281243,01-15-2020,MISS LOOSLI SILVER 003
