Lot #,Reg #,Name,ProS,HB,GM,CED,BW,WW,YW,ADG,Milk,ME,HPG,CEM,Stay,Marb,YG,CW,RE
116,4281279,MISS LOOSLI SILVER 021,139,88,51,8,0.5,82,132,0.32,32,6,15,5,16,0.48,0.18,40,0.17
117,4281297,MISS LOOSLI STILLWATER 030,151,82,70,9,2.1,70,116,0.28,31,3,13,4,16,0.68,0.01,34,0.36
118,4281515,MISS LOOSLI SILVER 087,128,95,33,7,1.8,77,120,0.27,33,1,15,4,17,0.47,0.18,22,-0.11
119,4281267,MISS LOOSLI SILVER 015,121,95,26,10,0.6,72,112,0.24,33,5,15,5,17,0.37,0.19,27,-0.01
120,4281323,MISS LOOSLI STILLWATER 043,140,73,67,10,1.3,67,108,0.26,29,4,14,6,14,0.77,0.06,29,0.19
121,4281293,MISS LOOSLI ULTIMATUM 028,139,97,42,12,-1.4,76,114,0.24,27,1,16,5,17,0.64,0.21,33,0.09
122,4281411,MISS LOOSLI SILVER 061,119,83,35,5,2.1,81,129,0.3,26,6,13,2,18,0.34,0.16,34,0.16
123,4281315,MISS LOOSLI SILVER 039,115,90,25,8,0.2,74,118,0.28,25,2,13,4,17,0.29,0.16,26,0.03
124,4281251,MISS LOOSLI RIVERSIDE 007,129,99,30,14,-2.5,62,97,0.22,29,1,13,7,18,0.36,0.06,23,0.12
125,4281529,MISS LOOSLI TOP LINE 094,120,86,33,16,-3.5,62,103,0.26,24,3,12,9,16,0.23,0.04,25,0.15
126,4281405,MISS LOOSLI FULLBACK 058,111,97,14,8,-0.2,67,110,0.26,26,1,13,4,20,0.08,-0.01,18,0.09
127,4281387,MISS LOOSLI FULLBACK 049,114,93,21,8,-0.2,58,91,0.21,30,1,12,4,20,0.27,0.01,12,-0.02
128,4281519,MISS LOOSLI RIVERSIDE 089,118,79,40,12,-0.9,58,96,0.23,30,2,14,6,15,0.44,0.11,24,0.01
129,4281239,MISS LOOSLI TRIAD 001,140,97,43,18,-6.9,55,87,0.19,25,-1,12,11,17,0.55,0.1,16,-0.05
130,4281513,MISS LOOSLI FRONTLINES 086,125,83,42,13,-2,68,107,0.24,21,3,9,8,16,0.54,0.08,21,0.24
